Respuesta,Frecuencia,Asociación
proponer,2,0.03773584905660377
figurilla,2,0.03773584905660377
cultural,1,0.018867924528301886
país,1,0.018867924528301886
superior,1,0.018867924528301886
crear,1,0.018867924528301886
dirigir,1,0.018867924528301886
adulto,1,0.018867924528301886
llegar,1,0.018867924528301886
actualmente,1,0.018867924528301886
otorgar,1,0.018867924528301886
cuerpo,1,0.018867924528301886
masculino,1,0.018867924528301886
femenino,1,0.018867924528301886
pareja,1,0.018867924528301886
original,1,0.018867924528301886
ejemplo,1,0.018867924528301886
significar,1,0.018867924528301886
llamar,1,0.018867924528301886
15,1,0.018867924528301886
mujer,1,0.018867924528301886
europeo,1,0.018867924528301886
violación,1,0.018867924528301886
película,1,0.018867924528301886
representación,1,0.018867924528301886
hombre,1,0.018867924528301886
moda,1,0.018867924528301886
erótico,1,0.018867924528301886
afirmar,1,0.018867924528301886
forzar,1,0.018867924528301886
directamente,1,0.018867924528301886
premio,1,0.018867924528301886
investigador,1,0.018867924528301886
sugerir,1,0.018867924528301886
interpretación,1,0.018867924528301886
argentino,1,0.018867924528301886
excitación,1,0.018867924528301886
rapto,1,0.018867924528301886
consumar,1,0.018867924528301886
asesinato,1,0.018867924528301886
sensual,1,0.018867924528301886
véase,1,0.018867924528301886
apreciación,1,0.018867924528301886
paleolítico,1,0.018867924528301886
dobres,1,0.018867924528301886
pornografía,1,0.018867924528301886
gerente,1,0.018867924528301886
canal,1,0.018867924528301886
playboy,1,0.018867924528301886
61,1,0.018867924528301886
porno,1,0.018867924528301886
