Respuesta,Frecuencia,Asociación
derecho,66,0.03333333333333333
sexualidad,16,0.00808080808080808
humano,15,0.007575757575757576
educación,15,0.007575757575757576
mujer,14,0.007070707070707071
decisión,14,0.007070707070707071
igualdad,12,0.006060606060606061
expresión,10,0.005050505050505051
sexual,9,0.004545454545454545
libre,9,0.004545454545454545
decidir,9,0.004545454545454545
recibir,9,0.004545454545454545
vida,9,0.004545454545454545
personal,8,0.00404040404040404
respeto,8,0.00404040404040404
acción,7,0.0035353535353535356
desarrollo,7,0.0035353535353535356
opinión,7,0.0035353535353535356
vivir,7,0.0035353535353535356
adolescente,7,0.0035353535353535356
difundir,7,0.0035353535353535356
permitir,6,0.0030303030303030303
suponer,6,0.0030303030303030303
1,6,0.0030303030303030303
idea,6,0.0030303030303030303
cuerpo,6,0.0030303030303030303
persona,6,0.0030303030303030303
entender,6,0.0030303030303030303
generación,6,0.0030303030303030303
dignidad,6,0.0030303030303030303
básico,5,0.0025252525252525255
2,5,0.0025252525252525255
asunto,5,0.0025252525252525255
relación,5,0.0025252525252525255
reconocer,5,0.0025252525252525255
reconocimiento,5,0.0025252525252525255
elección,5,0.0025252525252525255
conducta,5,0.0025252525252525255
garantizar,5,0.0025252525252525255
sexo,5,0.0025252525252525255
reproductivo,5,0.0025252525252525255
fundamental,5,0.0025252525252525255
hombre,5,0.0025252525252525255
amor,5,0.0025252525252525255
allá,5,0.0025252525252525255
dimensión,5,0.0025252525252525255
internacional,5,0.0025252525252525255
artículo,4,0.00202020202020202
construcción,4,0.00202020202020202
necesidad,4,0.00202020202020202
forma,4,0.00202020202020202
salud,4,0.00202020202020202
momento,4,0.00202020202020202
requerir,4,0.00202020202020202
niño,4,0.00202020202020202
3,4,0.00202020202020202
límite,4,0.00202020202020202
incluir,4,0.00202020202020202
condición,4,0.00202020202020202
do,4,0.00202020202020202
capacidad,4,0.00202020202020202
sistema,4,0.00202020202020202
cambio,4,0.00202020202020202
creencia,4,0.00202020202020202
considerar,4,0.00202020202020202
físico,4,0.00202020202020202
mental,4,0.00202020202020202
ley,4,0.00202020202020202
individual,4,0.00202020202020202
señalar,4,0.00202020202020202
poesía,4,0.00202020202020202
ético,4,0.00202020202020202
jurídico,4,0.00202020202020202
erotismo,4,0.00202020202020202
laico,4,0.00202020202020202
alma,4,0.00202020202020202
confirmar,4,0.00202020202020202
derecho_sexual,4,0.00202020202020202
enfatizar,4,0.00202020202020202
equidad,4,0.00202020202020202
transgresión,4,0.00202020202020202
proceso,3,0.0015151515151515152
diverso,3,0.0015151515151515152
elemento,3,0.0015151515151515152
social,3,0.0015151515151515152
conocimiento,3,0.0015151515151515152
concepto,3,0.0015151515151515152
deber,3,0.0015151515151515152
información,3,0.0015151515151515152
nacional,3,0.0015151515151515152
finalidad,3,0.0015151515151515152
objetivo,3,0.0015151515151515152
principal,3,0.0015151515151515152
contexto,3,0.0015151515151515152
resultar,3,0.0015151515151515152
adecuar,3,0.0015151515151515152
hablar,3,0.0015151515151515152
caso,3,0.0015151515151515152
querer,3,0.0015151515151515152
razón,3,0.0015151515151515152
cuestión,3,0.0015151515151515152
posibilidad,3,0.0015151515151515152
medida,3,0.0015151515151515152
convención,3,0.0015151515151515152
voluntad,3,0.0015151515151515152
pleno,3,0.0015151515151515152
valor,3,0.0015151515151515152
aborto,3,0.0015151515151515152
científico,3,0.0015151515151515152
fomentar,3,0.0015151515151515152
latinoamericano,3,0.0015151515151515152
hijo,3,0.0015151515151515152
expectativa,3,0.0015151515151515152
movimiento,3,0.0015151515151515152
autonomía,3,0.0015151515151515152
independencia,3,0.0015151515151515152
frente,3,0.0015151515151515152
declaración,3,0.0015151515151515152
acto,3,0.0015151515151515152
vivencia,3,0.0015151515151515152
limitar,3,0.0015151515151515152
surgir,3,0.0015151515151515152
colectivo,3,0.0015151515151515152
conciencia,3,0.0015151515151515152
gozar,3,0.0015151515151515152
democrático,3,0.0015151515151515152
intervención,3,0.0015151515151515152
justicia,3,0.0015151515151515152
imponer,3,0.0015151515151515152
frecuentemente,3,0.0015151515151515152
subyacer,3,0.0015151515151515152
responsabilidad,3,0.0015151515151515152
político,3,0.0015151515151515152
ejercer,3,0.0015151515151515152
participación,3,0.0015151515151515152
espiritual,3,0.0015151515151515152
tolerancia,3,0.0015151515151515152
violencia,3,0.0015151515151515152
década,3,0.0015151515151515152
fortalecer,3,0.0015151515151515152
federal,3,0.0015151515151515152
trabajo,2,0.00101010101010101
méxico,2,0.00101010101010101
tratar,2,0.00101010101010101
resolver,2,0.00101010101010101
problema,2,0.00101010101010101
perspectiva,2,0.00101010101010101
principio,2,0.00101010101010101
cantidad,2,0.00101010101010101
necesario,2,0.00101010101010101
ámbito,2,0.00101010101010101
buscar,2,0.00101010101010101
mencionar,2,0.00101010101010101
crear,2,0.00101010101010101
cualquiera,2,0.00101010101010101
esencial,2,0.00101010101010101
superar,2,0.00101010101010101
presente,2,0.00101010101010101
definir,2,0.00101010101010101
acceso,2,0.00101010101010101
pensar,2,0.00101010101010101
tipo,2,0.00101010101010101
joven,2,0.00101010101010101
punto,2,0.00101010101010101
juego,2,0.00101010101010101
implicar,2,0.00101010101010101
asociación,2,0.00101010101010101
respetar,2,0.00101010101010101
modificar,2,0.00101010101010101
alcance,2,0.00101010101010101
pasar,2,0.00101010101010101
apegar,2,0.00101010101010101
nivel,2,0.00101010101010101
control,2,0.00101010101010101
psicológico,2,0.00101010101010101
identidad,2,0.00101010101010101
sujeto,2,0.00101010101010101
transmisión,2,0.00101010101010101
gama,2,0.00101010101010101
diferencia,2,0.00101010101010101
actividad,2,0.00101010101010101
sociedad,2,0.00101010101010101
edad,2,0.00101010101010101
limitación,2,0.00101010101010101
privar,2,0.00101010101010101
característica,2,0.00101010101010101
fenómeno,2,0.00101010101010101
cosa,2,0.00101010101010101
dependencia,2,0.00101010101010101
determinar,2,0.00101010101010101
apuntar,2,0.00101010101010101
importancia,2,0.00101010101010101
analizar,2,0.00101010101010101
ayudar,2,0.00101010101010101
naturaleza,2,0.00101010101010101
orden,2,0.00101010101010101
mensaje,2,0.00101010101010101
práctica,2,0.00101010101010101
convertir,2,0.00101010101010101
salir,2,0.00101010101010101
enfrentar,2,0.00101010101010101
único,2,0.00101010101010101
luz,2,0.00101010101010101
ampliar,2,0.00101010101010101
menor,2,0.00101010101010101
estabilidad,2,0.00101010101010101
psíquico,2,0.00101010101010101
