Respuesta,Frecuencia,Asociación
principio,2,0.021505376344086023
principalmente,2,0.021505376344086023
circulación,2,0.021505376344086023
base,1,0.010752688172043012
palabra,1,0.010752688172043012
necesario,1,0.010752688172043012
organización,1,0.010752688172043012
interacción,1,0.010752688172043012
estudio,1,0.010752688172043012
etapa,1,0.010752688172043012
análisis,1,0.010752688172043012
superar,1,0.010752688172043012
juego,1,0.010752688172043012
histórico,1,0.010752688172043012
búsqueda,1,0.010752688172043012
consistir,1,0.010752688172043012
razón,1,0.010752688172043012
psicológico,1,0.010752688172043012
disminución,1,0.010752688172043012
identidad,1,0.010752688172043012
masculino,1,0.010752688172043012
diferencia,1,0.010752688172043012
ofensa,1,0.010752688172043012
cultura,1,0.010752688172043012
alto,1,0.010752688172043012
persona,1,0.010752688172043012
cosa,1,0.010752688172043012
elegir,1,0.010752688172043012
rendimiento,1,0.010752688172043012
do,1,0.010752688172043012
naturaleza,1,0.010752688172043012
creer,1,0.010752688172043012
iniciar,1,0.010752688172043012
considerar,1,0.010752688172043012
regular,1,0.010752688172043012
sexo,1,0.010752688172043012
pubertad,1,0.010752688172043012
hombre,1,0.010752688172043012
simbólico,1,0.010752688172043012
aceptar,1,0.010752688172043012
mantener,1,0.010752688172043012
esperar,1,0.010752688172043012
negativo,1,0.010752688172043012
cotidiano,1,0.010752688172043012
combinar,1,0.010752688172043012
frente,1,0.010752688172043012
sentimiento,1,0.010752688172043012
premisa,1,0.010752688172043012
similar,1,0.010752688172043012
remitir,1,0.010752688172043012
provocar,1,0.010752688172043012
gesto,1,0.010752688172043012
recomendar,1,0.010752688172043012
emocional,1,0.010752688172043012
suceder,1,0.010752688172043012
síntoma,1,0.010752688172043012
reportar,1,0.010752688172043012
frecuencia,1,0.010752688172043012
destacar,1,0.010752688172043012
inherente,1,0.010752688172043012
afirmación,1,0.010752688172043012
espacio,1,0.010752688172043012
interpretativo,1,0.010752688172043012
arte,1,0.010752688172043012
seriedad,1,0.010752688172043012
depresión,1,0.010752688172043012
tensión,1,0.010752688172043012
climaterio,1,0.010752688172043012
rechazo,1,0.010752688172043012
configuración,1,0.010752688172043012
fundar,1,0.010752688172043012
mantenimiento,1,0.010752688172043012
melancolía,1,0.010752688172043012
estructural,1,0.010752688172043012
incesto,1,0.010752688172043012
rítmico,1,0.010752688172043012
ansiedad,1,0.010752688172043012
desajuste,1,0.010752688172043012
desgano,1,0.010752688172043012
irritabilidad,1,0.010752688172043012
albur,1,0.010752688172043012
idéntico,1,0.010752688172043012
fenomenología,1,0.010752688172043012
parental,1,0.010752688172043012
héritier,1,0.010752688172043012
cúmulo,1,0.010752688172043012
dialéctico,1,0.010752688172043012
pornografía,1,0.010752688172043012
haraway,1,0.010752688172043012
incompatible,1,0.010752688172043012
